turn,label_probe_L32,label_probe_L50
0,-25.53104019165039,-0.6780190467834473
1,-19.640792846679688,12.038564682006836
2,-17.928543090820312,16.431772232055664
3,-13.839916229248047,20.91023063659668
4,-16.769630432128906,18.526363372802734
5,-16.26152801513672,18.21710968017578
6,-19.07464027404785,10.575608253479004
7,-12.434356689453125,25.828109741210938
8,-16.407068252563477,19.747760772705078
9,-14.141879081726074,20.24002456665039
10,-8.578544616699219,35.075252532958984
11,-12.9049711227417,24.080978393554688
12,-18.717926025390625,17.154800415039062
13,-18.875926971435547,16.526718139648438
14,-17.46038246154785,14.810510635375977
